id,name,lineno
FUNC_25530424,test_validate_url_sync_blocks_metadata_without_allowlist,60
FUNC_419eb54b,__init__,68
FUNC_3ccc726e,handle_async_request,71
FUNC_a670a6dc,aclose,75
FUNC_87312f4e,test_ssrf_safe_transport_pins_ip_and_sets_sni,80
FUNC_da64efc4,test_ssrf_safe_transport_blocks_private_resolution,111
FUNC_c20e699d,test_ssrf_safe_async_client_sets_redirect_defaults,134
FUNC_afb9c18e,test_private_ip_allowed_when_block_disabled,156
FUNC_1191ef1b,test_loopback_still_blocked_when_private_ips_allowed,169
FUNC_4cc276df,test_docker_internal_blocked,175
FUNC_64239284,test_metadata_still_blocked_when_private_ips_allowed,181
FUNC_ecaa7ad5,test_k8s_still_blocked_when_private_ips_allowed,187
FUNC_d267f2d1,test_cloud_metadata_ips_blocked_when_private_ips_allowed,211
FUNC_d2dac466,test_link_local_range_blocked_as_cloud_metadata_when_private_ips_allowed,225
FUNC_9057389b,test_redirect_to_private_ip_blocked,239
FUNC_3a1df7b9,_routing_addrinfo,242
FUNC_d8b51630,_redirect_responder,251
FUNC_14e0901a,test_ipv6_mapped_ipv4_blocked,278
FUNC_88cfb486,test_scheme_blocked,292
FUNC_cd673698,test_unresolvable_host_blocked,300
FUNC_c0557b79,test_allowed_host_bypass,321
FUNC_bc54ac48,test_localhost_allowed_in_local_env,333
FUNC_b7213b21,test_localhost_blocked_in_production,344
FUNC_a1d65457,test_sync_transport_pins_ip_and_sets_sni,358
FUNC_a091a1cb,test_sync_transport_blocks_private_resolution,374
FUNC_f85af9f5,test_sync_transport_redirect_to_private_blocked,388
FUNC_3a1df7b9,_routing_addrinfo,391
FUNC_d8b51630,_redirect_responder,400
FUNC_ffcb4645,test_ssrf_safe_client_sets_redirect_defaults,421
FUNC_9a70c312,__eq__,10
FUNC_0dbac511,_any_id_document,24
FUNC_e3330fb2,_any_id_ai_message,31
FUNC_97296292,_any_id_ai_message_chunk,38
FUNC_3450f70e,_any_id_human_message,45
FUNC_66f19356,test_all_models_built,7
FUNC_182ef0a9,test_valid_public_https_url,19
FUNC_63b7ea9a,test_valid_public_http_url,25
FUNC_193da658,test_localhost_blocked_by_default,31
FUNC_4d429ccf,test_localhost_allowed_with_flag,39
FUNC_1d7c3512,test_private_ip_blocked_by_default,49
FUNC_09be29fe,test_private_ip_allowed_with_flag,60
FUNC_528fad53,test_cloud_metadata_always_blocked,65
FUNC_d7e7bb33,test_ipv6_mapped_ipv4_localhost_blocked,77
FUNC_f2a16a46,test_ipv6_mapped_ipv4_cloud_metadata_blocked,82
FUNC_386c8ed2,test_invalid_scheme_blocked,87
FUNC_ab95286f,test_https_only_mode,98
FUNC_c75cbd8f,test_url_without_hostname,108
FUNC_cc707b5e,test_dns_resolution_failure,113
FUNC_90fb7f9c,test_testserver_allowed,118
FUNC_7e38e2dc,test_safe_url_returns_true,130
FUNC_856fa581,test_unsafe_url_returns_false,135
FUNC_0f5a93f5,test_unsafe_url_safe_with_allow_private,142
FUNC_ee0a7b8c,test_cloud_metadata_always_unsafe,147
FUNC_477a066b,test_valid_url_accepted,156
FUNC_de5aa64c,test_localhost_rejected,165
FUNC_4a2baf20,test_private_ip_rejected,174
FUNC_c8b5f874,test_cloud_metadata_rejected,183
FUNC_2727a93a,test_localhost_accepted,196
FUNC_054ab8cd,test_cloud_metadata_still_rejected,205
FUNC_aac1cfec,test_slack_webhook,218
FUNC_a3e4e510,test_discord_webhook,225
FUNC_f99c06b5,test_webhook_site,230
FUNC_80d21069,test_ngrok_url,235
FUNC_3ce3e2aa,test_generation_chunk,5
FUNC_05e41489,test_chat_generation_chunk,29
FUNC_c1424106,_get_tool_call_json_schema,85
FUNC_0b635a01,test_unnamed_decorator,97
FUNC_9bf9f207,search_api,101
FUNC_1734f63a,_run,125
FUNC_bb6ecdb3,_arun,128
FUNC_53de8c60,__init__,135
FUNC_1fdd51ab,__eq__,138
FUNC_c8a00c29,__hash__,141
FUNC_9189cae8,__repr__,144
FUNC_eecdeed3,test_structured_args,148
FUNC_0eec7f56,test_misannotated_base_tool_raises_error,158
FUNC_1734f63a,_run,169
FUNC_bb6ecdb3,_arun,172
FUNC_d57713eb,test_forward_ref_annotated_base_tool_accepted,178
FUNC_1734f63a,_run,187
FUNC_bb6ecdb3,_arun,190
FUNC_c30803a9,test_subclass_annotated_base_tool_accepted,196
FUNC_1734f63a,_run,205
FUNC_bb6ecdb3,_arun,208
FUNC_ad272aa9,test_decorator_with_specified_schema,218
FUNC_91cd4ebf,tool_func,222
FUNC_21338921,test_decorator_with_specified_schema_pydantic_v1,233
FUNC_71284894,tool_func_v1,244
FUNC_1ae40655,test_decorated_function_schema_equivalent,251
FUNC_3a30e328,structured_tool_input,255
FUNC_d7d34e37,test_args_kwargs_filtered,270
FUNC_1734f63a,_run,276
FUNC_bb6ecdb3,_arun,284
FUNC_1734f63a,_run,300
FUNC_bb6ecdb3,_arun,308
FUNC_ec42584c,test_structured_args_decorator_no_infer_schema,320
FUNC_3a30e328,structured_tool_input,324
FUNC_bfe9252e,test_structured_single_str_decorator_no_infer_schema,337
FUNC_9cb59e5a,unstructured_tool_input,341
FUNC_391bc079,test_structured_tool_types_parsed,351
FUNC_ec62656b,structured_tool,362
FUNC_58463224,test_structured_tool_types_parsed_pydantic_v1,389
FUNC_ec62656b,structured_tool,399
FUNC_031eb13d,test_structured_tool_types_parsed_pydantic_mixed,415
FUNC_ec62656b,structured_tool,427
FUNC_5f9b5f35,test_base_tool_inheritance_base_schema,433
FUNC_1734f63a,_run,441
FUNC_bb6ecdb3,_arun,445
FUNC_d563b56a,test_tool_lambda_args_schema,454
FUNC_8bdb33f9,test_structured_tool_from_function_docstring,466
FUNC_d8e7f983,foo,469
FUNC_5bda6cde,test_structured_tool_from_function_docstring_complex_args,500
FUNC_d8e7f983,foo,503
FUNC_ac45fabb,test_structured_tool_lambda_multi_args_schema,542
FUNC_5d6ced7a,test_tool_partial_function_args_schema,557
FUNC_a88c856a,func,560
FUNC_6fb5e3ba,test_empty_args_decorator,573
FUNC_95d851b8,empty_tool_input,577
FUNC_d03d2ec5,test_tool_from_function_with_run_manager,587
FUNC_d8e7f983,foo,590
FUNC_0a4e4492,test_structured_tool_from_function_with_run_manager,606
FUNC_d8e7f983,foo,609
FUNC_fd771ae1,test_structured_tool_from_parameterless_function,648
FUNC_d8e7f983,foo,651
FUNC_58bbfa6f,test_named_tool_decorator,661
FUNC_9bf9f207,search_api,665
FUNC_49c2ef80,test_named_tool_decorator_return_direct,676
FUNC_9bf9f207,search_api,680
FUNC_0dc3c927,test_unnamed_tool_decorator_return_direct,690
FUNC_9bf9f207,search_api,694
FUNC_0a4f7e0b,test_tool_with_kwargs,705
FUNC_9bf9f207,search_api,709
FUNC_cdf92536,test_missing_docstring,738
FUNC_9bf9f207,search_api,744
FUNC_9d8f7bc9,test_create_tool_positional_args,754
FUNC_b2405cb8,test_create_tool_keyword_args,763
FUNC_1be4de88,test_create_async_tool,772
FUNC_736b1701,_test_func,775
FUNC_1734f63a,_run,797
FUNC_bb6ecdb3,_arun,800
FUNC_08cd38f3,test_exception_handling_bool,804
FUNC_c1388e77,test_exception_handling_str,811
FUNC_8e4fedf8,test_exception_handling_callable,818
FUNC_973866d8,handling,821
FUNC_fa1698ff,test_exception_handling_non_tool_exception,829
FUNC_f97d5fe5,test_async_exception_handling_bool,835
FUNC_8867a335,test_async_exception_handling_str,842
FUNC_86124616,test_async_exception_handling_callable,849
FUNC_973866d8,handling,852
FUNC_d999eb55,test_async_exception_handling_non_tool_exception,860
FUNC_154ee00b,test_structured_tool_from_function,866
FUNC_d8e7f983,foo,869
FUNC_9b23d779,test_validation_error_handling_bool,900
FUNC_f868974c,test_validation_error_handling_str,908
FUNC_fa238c62,test_validation_error_handling_callable,916
FUNC_973866d8,handling,920
FUNC_99e97fa3,test_validation_error_handling_non_validation_error,936
FUNC_2c88f48a,_parse_input,946
FUNC_1734f63a,_run,954
FUNC_bb6ecdb3,_arun,958
FUNC_b6b60725,test_async_validation_error_handling_bool,966
FUNC_0c45c5dd,test_async_validation_error_handling_str,974
FUNC_99282569,test_async_validation_error_handling_callable,982
FUNC_973866d8,handling,986
FUNC_18ac6486,test_async_validation_error_handling_non_validation_error,1002
FUNC_2c88f48a,_parse_input,1012
FUNC_1734f63a,_run,1020
FUNC_bb6ecdb3,_arun,1024
FUNC_2e38604f,test_optional_subset_model_rewrite,1032
FUNC_f72e2a27,test_tool_invoke_optional_args,1061
FUNC_d8e7f983,foo,1063
FUNC_6664f8e0,test_tool_pass_context,1078
FUNC_d8e7f983,foo,1080
FUNC_8fb82c51,test_async_tool_pass_context,1094
FUNC_d8e7f983,foo,1096
FUNC_cce52740,assert_bar,1108
FUNC_d8e7f983,foo,1115
FUNC_399235e3,afoo,1121
FUNC_1a51b598,simple_foo,1127
FUNC_9eb3c426,asimple_foo,1133
FUNC_1734f63a,_run,1143
FUNC_bb6ecdb3,_arun,1149
FUNC_3002798a,test_tool_pass_config,1154
FUNC_1734f63a,_run,1170
FUNC_57a15b7c,test_tool_pass_config_non_pickleable,1174
FUNC_000e258b,test_async_tool_pass_config,1191
FUNC_2c7e2daa,test_tool_description,1198
FUNC_d8e7f983,foo,1199
FUNC_12126f7f,test_tool_arg_descriptions,1210
FUNC_d8e7f983,foo,1211
FUNC_65d7fd10,foo3,1249
FUNC_672da90e,foo3_runtime,1266
FUNC_b4aae29c,foo4,1279
FUNC_15b105d2,foo5,1287
FUNC_84477860,test_docstring_parsing,1296
FUNC_d8e7f983,foo,1309
FUNC_8de9de51,foo2,1324
FUNC_65d7fd10,foo3,1341
FUNC_b4aae29c,foo4,1361
FUNC_8ce0e9a7,test_tool_invalid_docstrings,1377
FUNC_65d7fd10,foo3,1380
FUNC_b4aae29c,foo4,1384
FUNC_15b105d2,foo5,1396
FUNC_2bf92e89,test_tool_annotated_descriptions,1411
FUNC_d8e7f983,foo,1412
FUNC_56b38b6f,test_tool_field_description_preserved,1440
FUNC_af3e7efc,my_tool,1444
FUNC_1f3f8213,test_tool_call_input_tool_message_output,1473
FUNC_150c151c,test_tool_content_block_output,1493
FUNC_af3e7efc,my_tool,1495
FUNC_1734f63a,_run,1522
FUNC_5d097d59,_mock_structured_tool_with_artifact,1532
FUNC_e6c99a64,test_tool_call_input_tool_message_with_artifact,1542
FUNC_38a6d87f,test_convert_from_runnable_dict,1563
FUNC_d80d5801,f,1569
FUNC_3701ea7f,g,1594
FUNC_9f37f25f,h,1615
FUNC_2d2acbdf,test_convert_from_runnable_other,1628
FUNC_d80d5801,f,1630
FUNC_3701ea7f,g,1633
FUNC_9f37f25f,h,1646
FUNC_af09df92,injected_tool,1658
FUNC_1734f63a,_run,1673
FUNC_1734f63a,_run,1698
FUNC_d9c93e8d,injected_tool_with_schema,1703
FUNC_32a0157a,test_tool_injected_arg_without_schema,1708
FUNC_142fd93d,test_tool_injected_arg_with_schema,1756
FUNC_c08fcba6,test_tool_injected_arg,1800
FUNC_d119dc39,test_tool_inherited_injected_arg,1845
FUNC_1734f63a,_run,1864
FUNC_2dfdc8c6,_get_parametrized_tools,1909
FUNC_af3e7efc,my_tool,1910
FUNC_d238d275,my_async_tool,1914
FUNC_0b8c5d85,test_fn_injected_arg_with_schema,1924
